2025.03.18 火曜日
18:24 ️💙 うーん
18:24 ️💙 まあ、半分あってるからそれでいいかも
18:25 ️💙 むずぃ、私もわからんの多い
18:27 ️💙 あんまり詳しくない方がいいよ
18:27 ️💙 そういうのに詳しいと、あー前の女が教えたんだってなるから
18:27 ️💙 メンヘラは
18:40 ️💙 あそうなん
18:40 ️💙 もうつくわ
18:42 ️💙 うん
19:06 ️💙 ありがとー🎶
20:04 ️💙 ゃば、面識ない人から褒められるんがいちばん嬉しいでつ
20:04 ️💙 意外とちゃんと話せてる
20:04 ️💙 でも酔い回るんはやいくてやばい
20:09 ️💙 ゃば
20:09 ️💙 クラス会たのしいでつか？
20:11 ️💙 うける
20:27 ️💙 飲んだ
22:12 ️💙がメッセージの送信を取り消しました
23:44 ️💙 大丈夫？
23:44 ️💙 生きてる？
23:45 ️💙 いまから帰りますよ
23:55 ️💙 でそー送って貰ってるな
23:55 ️💙 う
2025.03.24 月曜日
00:05 ️💙 おうちついた！
00:05 ️💙 くにやすくんは？
00:06 ️💙 なんかしんでるてきいたのですごーくしんぱいでつ
09:24 ️💙 やばい
09:24 ️💙 わたしにのみすぎちゃだめとかいってたのに！
09:57 ️💙 はんせいして՞⩌⌯⩌՞
11:07 ️💙 よかった
11:08 ️💙 ほんとに心配だったんだよ？
11:31 ️💙 謝んなくていいでつ
11:31 ️💙 きのうの記憶あるん？
11:32 ️💙 WWWWWWWWW
11:32 ️💙 そらそう
11:34 ️💙 今は体調平気？
11:37 ️💙 良かった
11:38 ️💙 あんしんしました
11:58 ️💙 こうせいくんと一緒に病院行ったんよね？
12:26 ️💙 なんか聞いた？
13:10 ️💙 そうなんか昨日電話で色々言われたから気になってる
16:49 ️💙 そっかならいいや
18:26 ️💙 全然忘れててもいいよもう連絡取らない宣言されたので˘ ᴗ  ̫ ᴗ ˘
19:13 ️💙 そうやよ
19:13 ️💙 話戻すんだけど
19:14 ️💙 あんまり文面で残したくない話があるから暇な時少し電話させて
19:23 ️💙 はや
19:23 ️💙 いいなー
19:23 ️💙 かけていい？
20:00 ️💙 着せかえのプレゼントが届きました！
スマートフォンで
受け取る事ができます。
21:04 ️💙 https://vt.tiktok.com/ZSrdCnS7J/
21:18 ️💙 1:53:52
21:49 ️💙 サイコーこの仕事したい
21:49 ️💙 見てたらままにきもっていわれた
22:05 ️💙 集合体恐怖症なんだって
22:06 ️💙 これそんな集合してるかな？
22:10 ️💙 いまからガトショたべまつ₍ᐢ‥ᐢ₎ ♡
22:11 ️💙 かいいこ
22:13 ️💙 わたしもたべたいт  ̫ т
22:25 ️💙 かえた？
22:32 ️💙 スタンプ
22:32 ️💙 くれ
22:35 ️💙 おいし？
22:37 ️💙 おいしいでそ
22:38 ️💙 スタンプ
22:39 ️💙 はまっちゃうよ
22:39 ️💙 おそろい
22:40 ️💙 ねーいいなー
22:40 ️💙 あしたたべるあ
22:41 ️💙 うん
22:45 ️💙 生クリーム苦手なの⁉️
22:45 ️💙 よかったおいしくて(=^_^=)♡
23:02 ️💙 ふーん
23:02 ️💙 むつかしいね
23:02 ️💙 こうせいくんにさ、くにやすくんと連絡取るなってのは約束できません‼️って喧嘩売りたい、だめだよねo̴̶̷᷄  ̫ o̴̶̷᷄
23:12 ️💙 画像
23:12 ️💙 今の視点これ
23:12 ️💙 だめだよね、いらいらするのやめまつ(ᐢ.  ̯.ᐢ)
23:16 ️💙 そうだよねわかってる(emoji)
23:16 ️💙 なんか
23:16 ️💙 もう連絡取らないでって言われた時に
23:16 ️💙 俺の方がわかってるから感出されたのにムカついて、確かに長く友達してるからわかってるんだろうけろ
23:17 ️💙 私だって仲良しだしっておもって
23:17 ️💙 むかついちゃった
23:19 ️💙 そうなの？
23:20 ️💙 じゃああれは彼氏面だ
23:26 ️💙 ね
23:26 ️💙 これからまたなかよくして
23:27 ️💙 ねちゃあそー
23:28 ️💙 あしたなんもない？
23:29 ️💙 じゃあおねがいごとしていい？
23:30 ️💙 ひとりじゃねれないからでんわして
23:33 ️💙 いいよ
23:52 ️💙 画像
2025.03.25 火曜日
06:48 ️💙 いつのまにかねてた
07:08 ️💙 付き合わせちゃってごめんね
08:46 ️💙 やさしー🎶
08:46 ️💙 今から帰りまつ
09:07 ️💙 スタンプ
09:07 ️💙 ねます
11:12 ️💙 スタンプ
11:45 ️💙 もうすぐおうちでつ
12:30 ️💙 UFOたべてり
12:33 ️💙 混ぜるの下手で濃いとこと薄いとこある
12:33 ️💙 インスタントも満足に作れないカス
12:39 ️💙 まじか
12:39 ️💙 参考にします
13:06 ️💙 やらんと下手なるよな
13:07 ️💙 労働に向けて眠ります
14:27 ️💙 がんばれません
14:28 ️💙 寝れなかった結局
14:47 ️💙 3時半から9時半まで、ながーいながーいながびよーん
14:47 ️💙 夜買って帰るあ
14:52 ️💙 りょーくんから、夜電話できるよってLINEきたのでなんでも頑張れる💖神😻
15:03 ️💙 スタンプ
15:04 ️💙 まじでかわいくない返信しちゃうんよなー
15:04 ️💙 りょーくんにかわいくできない
15:05 ️💙 画像
15:05 ️💙 かわいくできない
15:09 ️💙 小学生男児でむり
21:27 ️💙 いちごだいすきしろくまさん無かった
21:27 ️💙 もう終わりね
21:27 ️💙 あさちゃん終了
21:29 ️💙 バイトをお仕事って言うのも言われるのもやだ
21:29 ️💙 スタンプ
21:33 ️💙 こだわり強いだけ、ADHDなんかな
22:08 ️💙 じゃあいいか(˶ᐢᗜᐢ˶)
23:02 ️💙 隈部くんまじで返信早くてやばい
23:03 ️💙 覚醒してるこれ
23:03 ️💙 まじではやいよ
23:06 ️💙 わからん
23:06 ️💙 DMからLINEに変えたからかも
23:06 ️💙 てか今、メンコンの営業DMに試練を与える遊びしてて楽しい
23:18 ️💙 まじ可愛くて忘れられない…って言われたから、ストーリーのツーショどっちが私か聞いたら返信こない
23:35 ️💙 そうよな？許せん
23:45 ️💙 そやよ
2025.03.26 水曜日
00:14 ️💙 くるくる
00:14 ️💙 意外とちゃんとしてる
08:40 ️💙 うける
08:40 ️💙 あさちゃんにきくほうがいい
13:03 ️💙 私に聞いていいよ
13:04 ️💙 めっちゃ咲いてるすごい
13:04 ️💙 まだこっち2部くらい
13:06 ️💙 福岡25度ね、勝ち
13:06 ️💙 生焼けホットケーキ作って食べてるよ
13:07 ️💙 この熱気で生焼けも焼けるからいける
13:08 ️💙 天丼となにがちがうん
13:08 ️💙 天丼だとちょと健康感出る
13:10 ️💙 えび天丼おこる(怒る)(怒る)(怒る)(怒る)(怒る)(怒る)
13:10 ️💙 おこるものっちゃったはずかち
13:12 ️💙 画像
13:12 ️💙 メンコンにまた試練してたら
13:12 ️💙 めちゃくちゃ適当言われてる
13:14 ️💙 この時まだ付き合ってたし
13:14 ️💙 画像
13:14 ️💙 これ言われてるからたぶんめちゃくちゃりょーくんの話してたんだとおもうWWWWWWWWW
13:17 ️💙 勘弁してくれマジで˘ ᴗ  ̫ ᴗ ˘
13:21 ️💙 通知だけ見て言われたかと思ったわ
13:23 ️💙 日記始めようかなって思ってんだよね
13:23 ️💙 続くかな
13:24 ️💙 2週間とか
13:24 ️💙 1番がんばったとき
13:31 ️💙 WWWWWWWWW
13:31 ️💙 まじやばい
13:31 ️💙 夢日記だめなんじゃないん
13:31 ️💙 てか日記アプリ多すぎて選べないからやっぱりやめるわ
13:32 ️💙 わたしのにはないそんなの
13:32 ️💙 なんてなまえ
13:32 ️💙 なにいろ？
13:33 ️💙 ねえ
13:33 ️💙 おこるよ
13:33 ️💙 さすがによめるし
13:35 ️💙 見た目で探した
13:35 ️💙 あった
13:52 ️💙 すご
13:52 ️💙 まいにちがんばる
13:52 ️💙 くにやすくんもしてね
13:58 ️💙 中身見せて
13:58 ️💙 あさちゃんは見せないけろ
14:21 ️💙 やったー
14:22 ️💙 バイトだから3時に家でなきゃなんだけど
14:22 ️💙 今生理きて腹痛で動けなくて薬飲もうとしたらちょうど切らしてて終わってる
14:22 ️💙 当欠したら終わりだから這っていくけど
14:23 ️💙 部屋が汚すぎて見つけられないだけで薬はこの前買ったきもする
14:23 ️💙 えーん
14:23 ️💙 ３回に一回くらい重いの来てこうなるから平気
14:25 ️💙 スタンプ
16:31 ️💙 おやすみ、してしまった
18:59 ️💙 はぃ
19:00 ️💙 バイトだしな、所詮
19:22 ️💙 りょーくんにそれ言われて、休む連絡しよって思えた
20:19 ️💙 罪悪感たっぷり
21:33 ️💙 そう
21:33 ️💙 しかも明日行くのこわい
21:39 ️💙 なる
21:39 ️💙 ガクチカこれしかないから飛べないけろ
22:43 ️💙 そう、厳しい社会
23:47 ️💙 アニメ見てるから返信遅いんか
23:47 ️💙 スタンプ
23:47 ️💙 ズキューンスタンプもってなかた
23:48 ️💙 風呂に入れず苦しんでる
23:48 ️💙 ほんとうにめんどくさい
23:51 ️💙 ううん
23:51 ️💙 めんどくさくてお風呂入れないってこと
23:51 ️💙 これは、体調に関わらずいつもの事ですごめん
23:51 ️💙 Switch充電してお風呂入る
23:52 ️💙 上がったらはちみついっぱいかけたホットケーキ食べながらドラクエするから
23:52 ️💙 充電器、どこ〜❓т  ̫ т
23:56 ️💙 なんか
23:56 ️💙 らいんしすぎかも
23:57 ️💙 うん
23:57 ️💙 くにやすくんと
23:58 ️💙 だめだ
2025.03.27 木曜日
00:02 ️💙 飽きたってなに
00:02 ️💙 全然そゆことじゃないです
00:03 ️💙 接する時間が長いと、どうしても依存しそうになるから、だめだってこと
00:03 ️💙 メンヘラの特性、仕方ない
00:05 ️💙 っめたぃ
00:21 ️💙 言わせてごめんね
00:30 ️💙 ホルモンのあれでちょっとめんどくさくなっちゃってるごめんт  ̫ т
00:30 ️💙 ありがと
00:30 ️💙 安心しました
00:35 ️💙 それは言い過ぎかも
00:45 ️💙 ゃばい
00:45 ️💙 昔のツイート見たい
00:45 ️💙 さすがにだめ？
00:50 ️💙 いいんだWWWWWWWWW
00:50 ️💙 ホットケーキたべまつ
01:08 ️💙 うん
01:08 ️💙 あまいのたべたらねむくなってきた
01:18 ️💙 あいすはねむくならない
01:18 ️💙 あさちゃんのことはなしてるやつ
01:20 ️💙 どっちも
01:32 ️💙 一生彼女作れん←めちゃくちゃ嘘
02:07 ️💙 めんへらでかわいい
10:01 ️💙 こわかったね
10:01 ️💙 いいよ全然
10:01 ️💙 そのあと寝れた？
10:35 ️💙 スタンプ
10:35 ️💙 よかったでつ
11:21 ️💙 なぃ
11:48 ️💙 怖そう
11:48 ️💙 絶対やだ
11:48 ️💙 ストレスかな？
12:14 ️💙 えーなんだろね
12:14 ️💙 なんか無意識になんじゃない？
12:35 ️💙 部屋綺麗？
12:36 ️💙 部屋と心は同じなんだって
12:36 ️💙 片付けて
12:36 ️💙 わたし、足の踏み場無い
12:37 ️💙 心元気だけど
12:37 ️💙 まじやばいよ
12:37 ️💙 みる？
12:38 ️💙 動画
12:38 ️💙 キャリー2台やばい
12:40 ️💙 ユーネク、マギあってやばい
12:40 ️💙 一旦マギ見るわ
12:41 ️💙 そうでつ
12:42 ️💙 昔全部見たけど全部忘れてる
12:42 ️💙 OP聞いて記憶よみがえってきてるやばい
12:42 ️💙 なつかちー
13:04 ️💙 マギおもしろい
13:05 ️💙 片付けすすまない
14:47 ️💙 床は見えるようになった
14:48 ️💙 メイク系とかバス系多すぎてまとめられないんよなー、そのせいで散らかる
21:29 ️💙 寝る前もお片付け頑張る
21:29 ️💙 やったー🎶
21:48 ️💙 しろくまさん不在だからハーゲンの新しいやつ買ってきた😻
22:33 ️💙 チョコ割るやつ
23:25 ️💙 画像
23:25 ️💙 やばーい😻
23:28 ️💙 ありえない
23:28 ️💙 やばぃこり
2025.03.28 金曜日
00:06 ️💙 ハーゲンは量少ないからダメ
00:40 ️💙 スタンプ
00:40 ️💙 マギおもしろい
00:51 ️💙 見なさい
00:51 ️💙 ユーネク高い
14:21 ️💙 OP頭から離れん
15:15 ️💙 そう！
21:21 ️💙 みてみて
21:22 ️💙 やってない
21:22 ️💙 なにそれ？
21:44 ️💙 なにこれーやる！
22:15 ️💙 そうなん？
22:15 ️💙 広告見るの好きだからいいよ
23:00 ️💙 かわいいけろ
23:00 ️💙 ももんがいない
23:19 ️💙 つかえるようになった(˶ᐢᗜᐢ˶)
23:19 ️💙 ねーモバレの話したっけ？
2025.03.29 土曜日
00:04 ️💙 やってないんだっけ？
01:00 ️💙 電話しないで1人で寝たい時があるの、意味わかんない
01:01 ️💙 うん
01:01 ️💙 そゆもんなのかな
01:01 ️💙 そっかあ
01:02 ️💙 それ元カノの話ではなく？😃
01:07 ️💙 そーなん
01:07 ️💙 なにかたべな
01:07 ️💙 あさちゃんはちょと落ち込み気味なのでさっさとねまつ
01:07 ️💙 たべちゃだめ
01:08 ️💙 りょーくんの代わりにでんわしてって言ったら怒る？
01:09 ️💙 りょーくんの代わりにでんわして
01:10 ️💙 おわったらかけてきて
09:15 ️💙 おはよ
09:57 ️💙 うとの物販行く夢みたんだけど
09:57 ️💙 チェキ1枚で20分話してた
09:59 ️💙 ね、普通30秒もないのに
10:24 ️💙 どうせならなめくんがよかったーт  ̫ т
10:25 ️💙 夢見てる時さ、なめくんにしたかったのにちょっと会うの怖くてうとにしちゃったばか、夢なのに
12:07 ️💙 今日花粉やばい
12:56 ️💙 はぃ;(∩´﹏`∩);
12:56 ️💙 くしゃみもやばい
13:48 ️💙 つらくはないけろ
13:48 ️💙 くしゃみ出そうで出ないのがつらい
16:46 ️💙 うん
16:46 ️💙 一旦リゼロみてる
20:44 ️💙 いや、新シーズン見てなかったとこ
23:05 ️💙 明日さ
23:05 ️💙 りょーくんがさ
23:05 ️💙 高校の人たちとなんかバレー大会みたいなの行くんだけどさ
23:06 ️💙 男女混合らしくてすごく心配なの
23:06 ️💙 終わったあとご飯行くって言ってて
23:06 ️💙 画像
23:06 ️💙 しんぱいしてたら返り討ちにあって顔ない
2025.03.30 日曜日
00:18 ️💙 おもろい動画送っていい？
00:18 ️💙 まじで役たたずなあさちゃん
01:25 ️💙 無加工だからかおがあれなんだけど
01:25 ️💙がメッセージの送信を取り消しました
01:25 ️💙 音ありで見て
01:31 ️💙 いやちがう、プリ撮る時いっつもノマカメも置いてるの
01:31 ️💙 現実も合わせて受け入れとくために
02:11 ️💙 今日はなんで返信が遅いの？
12:55 ️💙 そーなん
16:18 ️💙 そだよ
16:18 ️💙 寒すぎてすぐ屋内に避難した
16:44 ️💙 ほんとにねー
16:44 ️💙 風邪ひきそう
17:43 ️💙 こまるー
17:43 ️💙 お花見まじ楽しくなかったWWWWWWWWW
20:31 ️💙 寒かったのもあるし今日会ってた人顔はかっこいいけど一緒にいてつまんない人だから
22:37 ️💙 そうそう
22:37 ️💙 ワンチャンアルカナ踊った
22:38 ️💙 ぅん
22:38 ️💙 アラサーグルとは思えない振り付けだから友達公開
22:44 ️💙 ぉまえと会った時も結んでいたのですが？😃
22:47 ️💙 今日前髪ぱっつんなんだけど、普段とどっちが似合う？
22:51 ️💙 やったー🎶あれフィルターかけてないの🎶
23:10 ️💙 フィルターないだけで加工はついてます(˶ᐢᗜᐢ˶)
23:10 ️💙 たくさんほめてもらえてうれしー
23:11 ️💙 画像
23:11 ️💙 こいつまじでばかでかわいい
23:14 ️💙 振り付け全然できてないからだって
23:14 ️💙 さいあく
23:14 ️💙 うん、あれむつかしいんだもん
23:15 ️💙 どうせこいつもできない
23:20 ️💙 まじむずいよ
23:20 ️💙 やってみてん
2025.03.31 月曜日
00:00 ️💙 動画
00:01 ️💙 あさちゃんのキャンチュー講座
00:09 ️💙 ちゃんと音声入りでいいでしょ
10:20 ️💙 そうなんよね
10:20 ️💙 そうだよ、しかもモブ
12:23 ️💙 意外とね
15:02 ️💙 はやいね
15:02 ️💙 グリードアイランドだいすき
16:54 ️💙 たのしんでー
16:54 ️💙 部屋片付けなきゃ
19:28 ️💙 まあまあじゃん
19:28 ️💙 0かも
21:05 ️💙 なんかさ、昨日会った元彼ともう会いたくないし連絡も取りたくないんだけど鬱ですぐしにたいとか言うから突き放すのちょっと怖いんだよねどうしよ
22:20 ️💙 たしかにね
22:20 ️💙 もう無視してて平気かな？
22:53 ️💙 ちゃんとさよならしてきた
22:54 ️💙 まじで他の人誰もいないと思うから心配だけど、いいや
22:55 ️💙 画像
22:55 ️💙 こわぃ
22:56 ️💙 中身残念すぎるからさ
22:56 ️💙 歩いてる時とかもかっこいーって言われるし、待ち合わせの時逆ナンされてたりするけど
22:56 ️💙 たぶん10分も話したら離れてくんだと思うWWWWWWWWW
22:57 ️💙 まじ？
22:57 ️💙 わたしもかも
22:57 ️💙 てかね
22:58 ️💙 これをね、りょーくんにも相談したの
22:58 ️💙 画像
22:58 ️💙 みてめろ
22:58 ️💙 一人称オレでかっこつけててむり
22:58 ️💙 いつも僕なんに
22:59 ️💙 WWWWWWWWW
22:59 ️💙 年上だしね
22:59 ️💙 りょーくん昨日さ
22:59 ️💙 バレーのいってたって言ったじゃん
22:59 ️💙 その時の写真くれたの
22:59 ️💙 まじで珍しいこと
22:59 ️💙 ちょーうれしかった
22:59 ️💙 ほかのメンバーも写ってたんだけどさ
22:59 ️💙 24てもう結構おじさんだね
23:00 ️💙 りょーくんだけかっこよかったわ
23:00 ️💙 めろめろした
23:00 ️💙 このタイミングで言っておくと
23:01 ️💙 条件付きだしいつ終わるか分からないからあんまり皆に言ってないけど復縁しました(˶ᐢᗜᐢ˶)
23:02 ️💙 えなにそれ
23:02 ️💙 そんなん言ったっけ
23:04 ️💙 覚えてないけど他に心当たり無いからそうなんかもわからん
23:04 ️💙 日付的にはあってるし
23:04 ️💙 まあでも変わらず仲良くしてください
23:04 ️💙 すぐまた終わっちゃうかもだからがんばってるなぅ
23:05 ️💙 スタンプ
23:05 ️💙 感謝
23:05 ️💙 できれば、ないしょでおねがいします
23:07 ️💙 たすかるとても
23:07 ️💙 大塚くんこわかったからなちょっと
23:07 ️💙 でもなーんも連絡来ないわ
23:07 ️💙 潔くて良いね
23:07 ️💙 えらいよねほんと
23:08 ️💙 てかまあ
23:08 ️💙 出会って2.3日なのもあるけどな
23:10 ️💙 スタンプ
23:10 ️💙 サジェストに出てきて使ったけどまじで知らんぐるだった
23:14 ️💙 全員のファンマだろ
23:14 ️💙 甘いな
23:15 ️💙 ハブられてる無理WWWWWWWWW
23:18 ️💙 まって知ってる人いてうける
23:41 ️💙 なろ屋とそらねこ
23:41 ️💙 そらねこは一瞬チャンネル登録してたこともあるやばあ
23:59 ️💙 うーんたぶん
23:59 ️💙 てかさ
23:59 ️💙 隈部くんとむらかみのはなししてたら、むらかみのはなしあんまり興味無い？って聞かれたんだけど何WWWWWWWWW
2025.04.01 火曜日
00:01 ️💙 画像
00:01 ️💙 いや違うの
00:04 ️💙 らしい
00:04 ️💙 なんでこう思ったんかわからんWWWWWWWWW
00:09 ️💙 あーそゆことかな
00:09 ️💙 でも聞いてくるってことは話してるの知ってるんかと思った
02:10 ️💙 あーそうなんか
02:36 ️💙がメッセージの送信を取り消しました
13:42 ️💙 おはよー
13:42 ️💙 りょーくんと一緒にいるとしあわせだけど、自己肯定感なくなるし不安になるしでいいことないよーт  ̫ т
13:43 ️💙 てことで朝からおちてた
13:44 ️💙 言われるよ
13:44 ️💙 言われるけどそういうことじゃない
13:44 ️💙 難しい
19:55 ️💙 そだよねーつらつら
19:55 ️💙 あつかったでしょ
20:49 ️💙 小学生の時見てて、ヨーヨー買ったよ
22:09 ️💙 マギ見て大泣きしてた
22:09 ️💙 でもなんかアリババくんが光すぎて心が不健康な時に見たら普通に病みそう
22:52 ️💙 ちゃんとショタよな
22:52 ️💙 モルジアナだいすき
2025.04.02 水曜日
00:44 ️💙 わかる
00:44 ️💙 とてかわ
10:35 ️💙 スタンプ
12:13 ️💙 かわいいよね
12:13 ️💙 好きになれないけろ
12:53 ️💙 でそ
12:53 ️💙 救いないよね
12:53 ️💙 そっからどんどん鬱でしかないよ
19:53 ️💙 わかる、ほんとにいいよね
19:53 ️💙 だからそれとハンター試験編がすき
20:08 ️💙 土の中で寝てる方が衝撃だった
21:11 ️💙 うわって声出たそこ
21:42 ️💙 スタンプ
22:18 ️💙 いいね
22:18 ️💙 元気そう？
22:19 ️💙 画像
22:19 ️💙 りょーくんに送ったらこれでやばい
22:24 ️💙 それはよかった
22:24 ️💙 隈部くんが可愛い着せ替え探しててかわいい
22:24 ️💙 きむちすすめたんだけど、くにやすくんもお揃いって言ったら別のにしてたうける
22:46 ️💙 ね
22:46 ️💙 かわいいスタンプも教えといた
22:59 ️💙 これも見せたけど、くにやすくんとおそろいって言ったらやめてた
22:59 ️💙 うける
22:59 ️💙 画像
22:59 ️💙 これ全部良くてやばい
22:59 ️💙 めろいってなに？うける
22:59 ️💙 かわいいでしょこれ
22:59 ️💙 スタンプ
23:00 ️💙 何個か可愛いの見せたらさ
23:00 ️💙 あざとにゃんこさまいいねって
23:00 ️💙 うけるほんと
23:00 ️💙 そうまじでやばぃ
23:00 ️💙 背景うるさいヤツだ
23:01 ️💙 まじむかつく
23:02 ️💙 スタンプ
23:19 ️💙 🅿️ついてたらプレミアムだよ
23:19 ️💙 いやこれ🅿️ついてないから貰ったんやない？
23:30 ️💙 はい、わかりました
23:30 ️💙 女に貰ってますこれ
23:30 ️💙 うわーわかるこれ
23:30 ️💙 分かってしまう
23:30 ️💙 蘇る記憶
23:31 ️💙 こういうパターン全員もれなく女に貰ってた
23:31 ️💙 これ買ってきて
23:31 ️💙 全員メンヘラだったんじゃないん？
23:32 ️💙 へー
23:32 ️💙 スタンプ
23:32 ️💙 スタンプ
23:32 ️💙 スタンプ
23:32 ️💙 これもなめくん
23:33 ️💙 こんなんで小銭稼いでて最悪
23:36 ️💙 そうそう
23:37 ️💙 (´・д・｀)ﾜｶﾙﾜｧ
23:38 ️💙 ねえまってさいあく
23:38 ️💙 Simejiに変換された
23:38 ️💙 悔しい
23:38 ️💙 わたしはこんな顔文字使わないのに
23:38 ️💙 スタンプ
23:38 ️💙 最悪
23:39 ️💙 かもおぢやばいWWWWWWWWW
23:39 ️💙 やばい今日一おもろい
23:39 ️💙 やばい
23:40 ️💙 Simejiのランキングか、
23:40 ️💙 普通に感情打って可愛いの探すかだよ
23:41 ️💙 うん
23:41 ️💙 ૮ ˃̣̣̥⌓˂̣̣̥ა 
23:41 ️💙 泣く時はこれか
23:41 ️💙 т  ̫ т
23:41 ️💙 ;(∩´﹏`∩);
23:42 ️💙 それかわいい
23:42 ️💙 画像
23:42 ️💙 よく使うの見せてあげる
23:42 ️💙 履歴から打つか、Simejiに登録してるからわからん
23:45 ️💙 ;(∩´﹏`∩);
23:45 ️💙 かわいー
23:45 ️💙 ⸝⸝>  ̫ <⸝⸝ᐡ♡
23:46 ️💙 これもおきにいり
23:47 ️💙 今村上に言われてさ
23:47 ️💙 1年ぶりくらいに元彼に連絡したんだけど
23:47 ️💙 ブロックされてたらきまずい
23:55 ️💙 たぶん高校の時
23:55 ️💙 大学入ってからも付き合ってたと思う！
23:57 ️💙 調べられる気がするけど
23:57 ️💙 調べるほどじゃないかもWWWWWWWWW
23:57 ️💙 くるならくるでこないならこないでいいや
23:58 ️💙 いや、大学受かったのかどうかWWWWWWWWW
2025.04.03 木曜日
00:00 ️💙 いやちがう
00:00 ️💙 その子は現役
00:25 ️💙 もう好きじゃなくなったって言ってブロックした感じ
00:31 ️💙 いやーどうだろ
00:31 ️💙 別れてすぐほかの女と電話したりしてたからな
00:31 ️💙 スタンプ
00:31 ️💙 これ使い方わかってない
00:32 ️💙 画像
00:32 ️💙 スタンプ
00:32 ️💙 さんろーさんき勉強しろとか言っちゃった
00:33 ️💙 いや、向こうが急に質問いいですか？って言って聞いてきただけ
00:33 ️💙 わたしとじゃないよWWWWWWWWW
00:35 ️💙 めちゃくちゃしてくるよこいつ
00:35 ️💙 なんの需要もなくてこまるから毎回冷たく返してる
00:36 ️💙 これで嫉妬して冷たくしてると思われてたらどうしようすぎる
00:36 ️💙 スタンプ
00:37 ️💙 えわからん
00:37 ️💙 いうてわたしも
00:37 ️💙 男の子に他の男の話してしまうから
00:37 ️💙 同罪なのかも
00:40 ️💙 嫌でした？
00:40 ️💙 ばかおもろいこれからもかにつけて欲しいかもー
00:50 ️💙 これまじでやばい
00:50 ️💙 おわっててごめん、なのに仲良くしてくれてありがとう
00:50 ️💙 だいすきなんじゃない？o̴̶̷᷄  ̫ o̴̶̷᷄
00:50 ️💙 スタンプ
00:52 ️💙 まって
00:52 ️💙 まってWWWWWWWWW
00:52 ️💙 えーやばいほんとに
00:52 ️💙 ごめんね
00:52 ️💙 カスすぎるかも
00:52 ️💙 WWWWWWWWW
00:52 ️💙 いやなやつほんとに
00:53 ️💙 WWWWWWWWW
00:53 ️💙 やべーこわいお酒
00:53 ️💙 くにやすくんと飲んだ時全然記憶あると思ってたけど
00:53 ️💙 そこなんも覚えてないわ
00:53 ️💙 それはごめんけどほんとにうけて😃
00:54 ️💙 むらかみも九医うけるらしいし
00:54 ️💙 いいやんみんな九州で
00:54 ️💙 あとなんか
00:54 ️💙 画像
00:54 ️💙 違う人のことらしい
00:54 ️💙 なんなのこいつ😃
00:55 ️💙 ほんとにほかの人のことか、嫉妬させたいのが図星で逃げたかやな
00:57 ️💙 かわいいなたしかに
00:57 ️💙 てかね
00:58 ️💙 運命の話聞いて
00:58 ️💙 りょーくんと付き合ったのも復縁したのもどっちもたまたま同じ日なの
00:58 ️💙 これは運命判定
00:58 ️💙 スタンプ
00:59 ️💙 まじでいっぱい祈ってて
01:00 ️💙 絵馬とか書いて
01:00 ️💙 もちろんなかよくする
01:12 ️💙 書きに行こう
01:12 ️💙 あさちゃんとりょーくんの将来を願って
01:12 ️💙 大宰府いこう
01:13 ️💙 お礼参りしなきゃなんだよね
01:13 ️💙 きて大宰府o̴̶̷᷄  ̫ o̴̶̷᷄
01:14 ️💙 19空いてる🤩
01:23 ️💙 ちんたいし
01:23 ️💙 スタンプ
01:32 ️💙 どこ泊まるん？
01:39 ️💙 よかったー
01:39 ️💙 どこらへんなん？
10:49 ️💙 スタンプ
10:49 ️💙 九大やばいかも、遠いかもWWWWWW
10:50 ️💙 チャミスルめちゃくちゃ酔ったなあ
14:41 ️💙 結構遠いと思うわからん
14:41 ️💙 ネイル変えたー💖
15:52 ️💙 画像
15:52 ️💙 ガラスフレンチした⸝⸝>  ̫ <⸝⸝ᐡ♡
15:52 ️💙 妹が値下げ前に買ってて泣いてたWWWWWWWWW
15:54 ️💙 スタンプ
15:54 ️💙 オーバークックしよう
16:02 ️💙 スタンプ
16:02 ️💙 めろいりょーくん自慢していい？
16:03 ️💙 司きゅん
16:03 ️💙 画像
16:03 ️💙 私が夜中送ってたやつに朝全部返信し直してくれる
16:03 ️💙 めろめろ
16:32 ️💙 起きたら全部に返信しろって言ったからなんですけどね😃
16:32 ️💙 でもわたしが寝ぼけてんのに朝ずっと電話しててくれた⸝⸝>  ̫ <⸝⸝ᐡ♡
16:32 ️💙 寝ぼけててなんも覚えてないの悔やまれる
21:34 ️💙 夏目だいすき
21:34 ️💙 覚えておいてネ♪が正解
2025.04.04 金曜日
00:06 ️💙 https://youtu.be/-48Q3svEu9I?si=4o7sb612K93_WNsR
11:51 ️💙 そでつ
11:52 ️💙 なんかかっこいいけどやっぱりおじさんになつてきてる
19:56 ️💙 でつ。。
22:25 ️💙 ゃばぃ
22:25 ️💙 朝6時から待機しようね
22:53 ️💙 ほんとにしてね
22:53 ️💙 言ったからね
22:53 ️💙 6時に学校とのツーショ送ってね
22:53 ️💙 うん
22:53 ️💙 それは無理なの？🥹
22:53 ️💙 てかあついはなししていい？
22:53 ️💙 元彼がたまたまりょーくんと同じ中学だったんだけど
22:54 ️💙 2年ぶりに謎のフォロリク来てやばぃ
22:54 ️💙 スタンプ
22:55 ️💙 そのまんま
